;class;xmin;ymin;xmax;ymax;file;defect_x_center;defect_y_center;defect_width;defect_height;image_width;image_height;width_ratio;height_ratio;path;category_codes
0;missing_hole;2459;1274;2530;1329;.\data\pcb_defects_kaggle\Annotations\Missing_hole\01_missing_hole_01;0.8221819380355966;0.8206179066834804;71;55;3034;1586;0.023401450230718525;0.03467843631778058;.\data\pcb_defects_kaggle\images/Missing_hole/01_missing_hole_01.jpg;1
1;missing_hole;1613;334;1679;396;.\data\pcb_defects_kaggle\Annotations\Missing_hole\01_missing_hole_01;0.5425181278839816;0.23013871374527112;66;62;3034;1586;0.021753460777851022;0.03909205548549811;.\data\pcb_defects_kaggle\images/Missing_hole/01_missing_hole_01.jpg;1
2;missing_hole;1726;794;1797;854;.\data\pcb_defects_kaggle\Annotations\Missing_hole\01_missing_hole_01;0.5805866842452209;0.519546027742749;71;60;3034;1586;0.023401450230718525;0.03783102143757881;.\data\pcb_defects_kaggle\images/Missing_hole/01_missing_hole_01.jpg;1
3;missing_hole;2584;232;2650;298;.\data\pcb_defects_kaggle\Annotations\Missing_hole\01_missing_hole_02;0.8625576796308504;0.16708701134930642;66;66;3034;1586;0.021753460777851022;0.0416141235813367;.\data\pcb_defects_kaggle\images/Missing_hole/01_missing_hole_02.jpg;1
4;missing_hole;2366;803;2406;860;.\data\pcb_defects_kaggle\Annotations\Missing_hole\01_missing_hole_02;0.7864205669083718;0.5242749054224464;40;57;3034;1586;0.013183915622940013;0.035939470365699874;.\data\pcb_defects_kaggle\images/Missing_hole/01_missing_hole_02.jpg;1
5;missing_hole;1506;802;1559;856;.\data\pcb_defects_kaggle\Annotations\Missing_hole\01_missing_hole_02;0.5051087673038892;0.5226986128625473;53;54;3034;1586;0.01746868820039552;0.034047919293820936;.\data\pcb_defects_kaggle\images/Missing_hole/01_missing_hole_02.jpg;1
6;missing_hole;2651;487;2700;531;.\data\pcb_defects_kaggle\Annotations\Missing_hole\01_missing_hole_03;0.8818391562294001;0.3209331651954603;49;44;3034;1586;0.016150296638101518;0.027742749054224466;.\data\pcb_defects_kaggle\images/Missing_hole/01_missing_hole_03.jpg;1
7;missing_hole;1342;749;1393;796;.\data\pcb_defects_kaggle\Annotations\Missing_hole\01_missing_hole_03;0.4507251153592617;0.48707440100882726;51;47;3034;1586;0.016809492419248517;0.029634300126103404;.\data\pcb_defects_kaggle\images/Missing_hole/01_missing_hole_03.jpg;1
8;missing_hole;2082;582;2135;620;.\data\pcb_defects_kaggle\Annotations\Missing_hole\01_missing_hole_03;0.6949571522742255;0.37894073139974777;53;38;3034;1586;0.01746868820039552;0.02395964691046658;.\data\pcb_defects_kaggle\images/Missing_hole/01_missing_hole_03.jpg;1
9;missing_hole;1619;225;1673;278;.\data\pcb_defects_kaggle\Annotations\Missing_hole\01_missing_hole_04;0.5425181278839816;0.1585750315258512;54;53;3034;1586;0.017798286090969017;0.033417402269861285;.\data\pcb_defects_kaggle\images/Missing_hole/01_missing_hole_04.jpg;1
10;missing_hole;337;754;386;814;.\data\pcb_defects_kaggle\Annotations\Missing_hole\01_missing_hole_04;0.11914963744232036;0.4943253467843632;49;60;3034;1586;0.016150296638101518;0.03783102143757881;.\data\pcb_defects_kaggle\images/Missing_hole/01_missing_hole_04.jpg;1
11;missing_hole;217;1009;277;1067;.\data\pcb_defects_kaggle\Annotations\Missing_hole\01_missing_hole_04;0.08141067897165458;0.6544766708701135;60;58;3034;1586;0.01977587343441002;0.03656998738965952;.\data\pcb_defects_kaggle\images/Missing_hole/01_missing_hole_04.jpg;1
12;missing_hole;804;298;860;365;.\data\pcb_defects_kaggle\Annotations\Missing_hole\01_missing_hole_05;0.2742254449571523;0.20901639344262296;56;67;3034;1586;0.01845748187211602;0.04224464060529634;.\data\pcb_defects_kaggle\images/Missing_hole/01_missing_hole_05.jpg;1
13;missing_hole;279;294;353;374;.\data\pcb_defects_kaggle\Annotations\Missing_hole\01_missing_hole_05;0.1041529334212261;0.21059268600252207;74;80;3034;1586;0.024390243902439025;0.05044136191677175;.\data\pcb_defects_kaggle\images/Missing_hole/01_missing_hole_05.jpg;1
14;missing_hole;1068;1051;1110;1107;.\data\pcb_defects_kaggle\Annotations\Missing_hole\01_missing_hole_05;0.35893210283454186;0.680327868852459;42;56;3034;1586;0.013843111404087014;0.03530895334174023;.\data\pcb_defects_kaggle\images/Missing_hole/01_missing_hole_05.jpg;1
15;missing_hole;1613;392;1677;460;.\data\pcb_defects_kaggle\Annotations\Missing_hole\01_missing_hole_05;0.542188529993408;0.2686002522068096;64;68;3034;1586;0.02109426499670402;0.04287515762925599;.\data\pcb_defects_kaggle\images/Missing_hole/01_missing_hole_05.jpg;1
16;missing_hole;1446;480;1504;542;.\data\pcb_defects_kaggle\Annotations\Missing_hole\01_missing_hole_06;0.486156888595913;0.32219419924337955;58;62;3034;1586;0.01911667765326302;0.03909205548549811;.\data\pcb_defects_kaggle\images/Missing_hole/01_missing_hole_06.jpg;1
17;missing_hole;1326;1203;1386;1269;.\data\pcb_defects_kaggle\Annotations\Missing_hole\01_missing_hole_06;0.44693473961766644;0.7793190416141236;60;66;3034;1586;0.01977587343441002;0.0416141235813367;.\data\pcb_defects_kaggle\images/Missing_hole/01_missing_hole_06.jpg;1
18;missing_hole;2070;800;2140;860;.\data\pcb_defects_kaggle\Annotations\Missing_hole\01_missing_hole_06;0.6938035596572182;0.5233291298865069;70;60;3034;1586;0.023071852340145024;0.03783102143757881;.\data\pcb_defects_kaggle\images/Missing_hole/01_missing_hole_06.jpg;1
19;missing_hole;1737;340;1793;394;.\data\pcb_defects_kaggle\Annotations\Missing_hole\01_missing_hole_07;0.5817402768622281;0.23139974779319042;56;54;3034;1586;0.01845748187211602;0.034047919293820936;.\data\pcb_defects_kaggle\images/Missing_hole/01_missing_hole_07.jpg;1
20;missing_hole;1390;1042;1470;1122;.\data\pcb_defects_kaggle\Annotations\Missing_hole\01_missing_hole_07;0.4713249835201055;0.682219419924338;80;80;3034;1586;0.026367831245880026;0.05044136191677175;.\data\pcb_defects_kaggle\images/Missing_hole/01_missing_hole_07.jpg;1
